,prospect,prospect_vorp_proj,player,pos,VORP/Yr,vorp_diff
0,john tonje,0.41868651587805794,malik beasley,Wing G,0.4111111111,-0.007575404778057959
1,john tonje,0.41868651587805794,joe harris,Wing G,0.41,-0.008686515878057965
2,john tonje,0.41868651587805794,pat connaughton,Wing G,0.44,0.02131348412194206
3,john tonje,0.41868651587805794,cam whitmore,Wing G,0.45,0.03131348412194207
4,eric dixon,-0.16669831070521846,jordan nwora,Wing F,-0.175,-0.008301689294781534
5,eric dixon,-0.16669831070521846,kz okpala,Wing F,-0.175,-0.008301689294781534
6,eric dixon,-0.16669831070521846,caleb houstan,Wing F,-0.1666666667,3.164400521846189e-05
7,eric dixon,-0.16669831070521846,devin ebanks,Wing F,-0.1666666667,3.164400521846189e-05
8,nique clifford,0.2887587281755958,rodney hood,Wing F,0.275,-0.013758728175595758
9,nique clifford,0.2887587281755958,sandro mamukelashvili,Wing F,0.25,-0.03875872817559578
10,nique clifford,0.2887587281755958,keldon johnson,Wing F,0.3,0.011241271824404209
11,nique clifford,0.2887587281755958,toumani camara,Wing F,0.35,0.0612412718244042
12,ryan kalkbrenner,0.42143980729074804,jaxson hayes,C,0.4166666667,-0.004773140590748015
13,ryan kalkbrenner,0.42143980729074804,cody zeller,C,0.3545454545,-0.06689435279074801
14,ryan kalkbrenner,0.42143980729074804,john henson,C,0.425,0.0035601927092519525
15,ryan kalkbrenner,0.42143980729074804,jarred vanderbilt,C,0.4571428571,0.035703049809251985
16,walter clayton jr,0.8480208407255974,spencer dinwiddie,Scoring PG,0.7363636364,-0.11165720432559734
17,walter clayton jr,0.8480208407255974,grayson allen,Scoring PG,0.7285714286,-0.11944941212559734
18,walter clayton jr,0.8480208407255974,lonzo ball,Scoring PG,1.116666667,0.2686458262744027
19,walter clayton jr,0.8480208407255974,cason wallace,Scoring PG,1.15,0.30197915927440255
20,jase richardson,1.0238592230186634,terry rozier,Combo G,1.01,-0.01385922301866338
21,jase richardson,1.0238592230186634,matisse thybulle,Combo G,0.8833333333,-0.14052588971866342
22,jase richardson,1.0238592230186634,malcolm brogdon,Combo G,1.244444444,0.2205852209813366
23,jase richardson,1.0238592230186634,klay thompson,Combo G,1.441666667,0.4178074439813366
24,tre johnson,0.3180025665615248,miles mcbride,Combo G,0.3,-0.018002566561524824
25,tre johnson,0.3180025665615248,cory joseph,Combo G,0.2857142857,-0.0322882808615248
26,tre johnson,0.3180025665615248,jalen suggs,Combo G,0.325,0.006997433438475198
27,tre johnson,0.3180025665615248,malik monk,Combo G,0.3625,0.044497433438475176
28,khaman maluach,0.40577453407003594,cody zeller,C,0.3545454545,-0.05122907957003592
29,khaman maluach,0.40577453407003594,mike muscala,C,0.3363636364,-0.06941089767003594
30,khaman maluach,0.40577453407003594,jaxson hayes,C,0.4166666667,0.01089213262996408
31,khaman maluach,0.40577453407003594,john henson,C,0.425,0.019225465929964047
32,asa newell,0.13862722927572418,derrick williams,PF/C,0.1142857143,-0.02434151497572419
33,asa newell,0.13862722927572418,mouhamed gueye,PF/C,0.1,-0.03862722927572418
34,asa newell,0.13862722927572418,markieff morris,PF/C,0.1642857143,0.025658485024275812
35,asa newell,0.13862722927572418,josh minott,PF/C,0.1666666667,0.02803943742427581
36,kasparas jakucionis,0.48194086905367156,alec burks,Wing G,0.4714285714,-0.010512297653671565
37,kasparas jakucionis,0.48194086905367156,terance mann,Wing G,0.4666666667,-0.015274202353671551
38,kasparas jakucionis,0.48194086905367156,christian braun,Wing G,0.5,0.01805913094632844
39,kasparas jakucionis,0.48194086905367156,kevin huerter,Wing G,0.5142857143,0.03234484524632847
